hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,4096,0,1384022
gpu,imrecon,grayscale,8,4096,0,804370
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,128,0,616041
gpu,imrecon,grayscale,8,128,0,15861501
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,128,1,643968
gpu,imrecon,grayscale,8,128,1,16252241
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,128,2,669240
gpu,imrecon,grayscale,8,128,2,16459267
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,128,4,713565
gpu,imrecon,grayscale,8,128,4,16759109
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,128,8,816823
gpu,imrecon,grayscale,8,128,8,16896853
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,128,16,1059084
gpu,imrecon,grayscale,8,128,16,17976485
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,128,32,1762134
gpu,imrecon,grayscale,8,128,32,21253109
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,256,0,922925
gpu,imrecon,grayscale,8,256,0,6170783
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,256,1,938463
gpu,imrecon,grayscale,8,256,1,6558265
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,256,2,958972
gpu,imrecon,grayscale,8,256,2,6636568
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,256,4,984417
gpu,imrecon,grayscale,8,256,4,6649627
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,256,8,1041188
gpu,imrecon,grayscale,8,256,8,6748627
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,256,16,1211049
gpu,imrecon,grayscale,8,256,16,7506634
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,256,32,1555540
gpu,imrecon,grayscale,8,256,32,8553396
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,256,64,2311832
gpu,imrecon,grayscale,8,256,64,10185216
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,0,1131070
gpu,imrecon,grayscale,8,512,0,3560870
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,1,1139090
gpu,imrecon,grayscale,8,512,1,3686919
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,2,1140131
gpu,imrecon,grayscale,8,512,2,3710575
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,4,1158259
gpu,imrecon,grayscale,8,512,4,3730523
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,8,1195923
gpu,imrecon,grayscale,8,512,8,3664806
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,16,1250495
gpu,imrecon,grayscale,8,512,16,3803559
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,32,1475183
gpu,imrecon,grayscale,8,512,32,4134594
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,64,1761397
gpu,imrecon,grayscale,8,512,64,4803898
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,512,128,2510488
gpu,imrecon,grayscale,8,512,128,5959799
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,0,1249526
gpu,imrecon,grayscale,8,1024,0,2071270
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,1,1253314
gpu,imrecon,grayscale,8,1024,1,2177960
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,2,1254168
gpu,imrecon,grayscale,8,1024,2,2179308
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,4,1258607
gpu,imrecon,grayscale,8,1024,4,2095411
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,8,1276637
gpu,imrecon,grayscale,8,1024,8,2086004
hw,algo,binary,conn,chunk,border,time(us)
cpu,imrecon,grayscale,8,1024,16,1299285
